,low_time,high_time,ch2,std_ch2,ch3,std_ch3
0,-0.0126384,-0.01263727,0.598939929328622,0.061035397443451773,21.92897526501767,0.012488150673804115
1,-0.012637268,-0.01263614,0.5933628318584071,0.060157328407891994,21.933628318584073,0.013651606007217192
2,-0.012636138,-0.01263501,0.585929203539823,0.06177107413424816,21.9353982300885,0.01454920534385216
3,-0.012635008,-0.012633878,0.5789310954063606,0.059455664810438874,21.929505300353362,0.013673067171545929
4,-0.012633876,-0.012632748,0.5719026548672567,0.060903880179963794,21.935398230088495,0.0141752985394969
5,-0.012632746,-0.012631618,0.562433628318584,0.0614772433747587,21.936637168141594,0.01455783045013227
6,-0.012631616,-0.012630486,0.5577296819787985,0.05765381687673949,21.938339222614847,0.013988468154684118
7,-0.012630484,-0.012629356,0.5525221238938053,0.05811048069937415,21.937522123893807,0.013855956898762607
8,-0.012629354,-0.012628226,0.5434070796460178,0.05583000891264617,21.940176991150445,0.015316771718904582
9,-0.012628224,-0.012627094,0.5363957597173146,0.05792410423316804,21.938162544169614,0.013889408317279365
10,-0.012627092,-0.012625964,0.5289380530973452,0.060932212958641305,21.939823008849558,0.014471348058925474
11,-0.012625962,-0.012624834,0.5207522123893805,0.059642336555481595,21.94318584070797,0.0137933912209163
12,-0.012624832,-0.012623704,0.5165044247787611,0.06111066416212754,21.94318584070797,0.01399539177818603
13,-0.012623702,-0.012622572,0.5128533568904593,0.05795324898151192,21.939929328621908,0.014776615622067037
14,-0.01262257,-0.012621442,0.5090265486725664,0.05919924243096133,21.93840707964602,0.013899627639912237
15,-0.01262144,-0.012620312,0.5064601769911504,0.06019643986668077,21.94070796460177,0.013655484569720227
16,-0.01262031,-0.01261918,0.5029151943462898,0.05925546794920111,21.942579505300355,0.014278514667590798
17,-0.012619178,-0.01261805,0.4995132743362831,0.058818467557194665,21.94849557522124,0.0139172548677546
18,-0.012618048,-0.01261692,0.49579646017699114,0.059336907885558565,21.94654867256637,0.013523134427801899
19,-0.012616918,-0.012615788,0.49266784452296825,0.05965702446378575,21.9434628975265,0.01376616056076036
20,-0.012615786,-0.012614658,0.4924778761061947,0.057618046887955625,21.950442477876106,0.013597622696589571
21,-0.012614656,-0.012613528,0.49004424778761063,0.06059030937086189,21.948141592920354,0.013701082799091857
